ticket_id,external_id,subject,channel,predicted,confidence,gold_label,notes
1,456096604,Mention in smooth_bezel's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
12,456065722,ABWESEND,email,SYSTEM_NOTIFICATION,0.93,,
16,456060268,Mention in chronoperspective's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
18,456059167,TEST A.H.,email,INTERNAL,0.8,,
19,456058916,"Re: I have a question about a watch, Essence, No, I need more help, Wait for live chat, Hello ...",chat,SUPPORT,0.82,,
21,456052867,You have authorized a payment to AIEU Services Limite...,email,SYSTEM_NOTIFICATION,0.93,,
22,456051869,Case # 150902 Created: automatische Eingangsbestätigung - bitte nicht antworten,email,SYSTEM_NOTIFICATION,0.93,,
25,456051026,WG: Ihre Abrechnungsbelege 693260REC58 sind da  / Votre document de facturation 693260REC58 est disponible,email,SYSTEM_NOTIFICATION,0.93,,
28,456036740,⚠️ Attenzione: il tuo account pubblicitario e la tua pagina fan verranno disattivati ​​entro 24 ore.,email,SPAM_PHISHING,0.92,,
30,456029884,"Formex Baby Reef, Kaufdatum Mai 2025, Ausfall am 21.07.2026",email,SUPPORT,0.82,,
32,456022944,Message Restriction Activity,email,SOCIAL_NOTIFICATION,0.95,,
35,456016518,When will 39 space glacier be back,chat,SUPPORT,0.82,,
36,456016226,Direct message with maqssence,instagram-direct-message,SUPPORT,0.82,,
40,455995974,Issues with my watch,email,SUPPORT,0.82,,
41,455987394,Notification of payment received,email,SUPPORT,0.82,,
45,455976192,Mention in dowoo1950's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
49,455963100,Barrettes,chat,UNCLEAR,0.8,,
51,455961653,When will the 42mm Reef stainless steel bracelet be back in stock ,chat,SUPPORT,0.82,,
56,455955487,Kreditangebot,email,SPAM_PHISHING,0.95,,
59,455944921,Mention in throughthewatch's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
69,455909689,automatische Eingangsbestätigung - bitte nicht antworten,email,SYSTEM_NOTIFICATION,0.93,,
76,455865899,Direct message with leepeck_music,instagram-direct-message,SUPPORT,0.82,,
80,455858588,Account/Page Status May Be Affected,email,SPAM_PHISHING,0.95,,
81,455855030,Work proposal / collaboration,email,VENDOR_PITCH,0.95,,
82,455847934,Electronic customs document import shipment T55MJ7BKYRN for 23.07.2026,email,SYSTEM_NOTIFICATION,0.95,,
89,455838594,A cinematic idea for Formex - FORMEX Swiss Made Watches (en-US),help-center,VENDOR_PITCH,0.95,,
90,455828090,Direct message with motoshag,instagram-direct-message,SUPPORT,0.82,,
93,455791164,Out of stock notification for Automatic COSC 300M Black 42 mm,email,SYSTEM_NOTIFICATION,0.93,,
94,455781009,E-Mail ,chat,UNCLEAR,0.8,,
97,455773292,Send some information ?,email,SUPPORT,0.82,,
102,455764397,Re: Formex Essence 41 Space Ghost Pre-Order,email,SUPPORT,0.82,,
104,455753926,Mention in jewels_stock_watches's story,instagram-direct-message,SOCIAL_NOTIFICATION,0.95,,
